위치명,위도,경도,구간시점,구간종점,식재거리(km),총합계,왕벚나무,은행나무,느티나무,이팝나무,후박나무,먼나무,해송,가시나무,구군명,데이터기준일자
부산광역시 영도구 태종로,35.088739,129.069015,영도대교,소방서앞사거리,800,135,,,,135,,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 태종로,35.082906,129.076356,소방서앞사거리,봉래교차로,200,86,,,86,,,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 태종로,35.064082,129.080982,봉래교차로,청학119,1400,109,,,,,81,28,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 태종로,35.095856,129.053289,청학119,영도구청,1400,242,,,,242,,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 태종로,35.091794,129.040685,영도구청,항만119,700,131,131,,,,,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 태종로,35.091794,129.040685,항만119,해경교차로,1000,110,,,,,,110,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 태종로,35.091794,129.040685,동삼동패총,태종대입구,700,95,,,,,,93,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 태종로,35.0806495,129.0743388,해경교차로,해양대삼거리,600,84,,,,,,84,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 해양로,35.083321,129.077222,해양대삼거리,미창석유,2000,388,,,,,,388,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 해양로,35.09544,129.065679,미창석유,유진선박의장,2500,346,,,,,346,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 해양로,35.078685,129.078442,영도마린축구장,국립해양박물관,500,129,,,,94,,35,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 해양로,35.075081,129.075385,해양대 앞 교통섬,해양대 앞 교통섬,200,85,,,,,83,2,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 동삼북로,35.082709,129.070293,일동미라주1단지,동삼주공1단지,200,40,,40,,,,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 중리로,35.075849,129.068182,해동중학교,영도제일중학교,800,125,125,,,,,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 함지로,35.074277,129.067669,반도보라비치타운,중리초등학교,1300,184,184,,,,,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 대교로2번길,35.09469,129.045498,봉래교차로,대교초등학교,200,20,,,,,20,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 번영길,35.09245,129.045365,봉래교차로,봉래아파트,100,9,,9,,,,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 남항서로,35.092116,129.037937,기업은행,국제선용품유통,400,62,,62,,,,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 남항시장길,35.08771,129.04474,강남의원,신선공영주차장,300,42,42,,,,,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 남항새싹7길,35.081933,129.041788,부산보건고,부산보건고,80,4,4,,,,,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 꿈나무길,35.089999,129.044769,소방서앞사거리,영도초교,200,21,21,,,,,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 신선로,35.084884,129.043663,영선윗로터리,영도경로당,200,44,,,,44,,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 산업로,35.094502,129.065924,대성주유소,신한기공사앞교차로,400,60,,,,,60,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 대교로,35.093475,129.04307,봉래교차로,부산대교,500,81,,,,,,,,81,부산광역시 영도구,2026-02-19
부산광역시 영도구 절영로,35.093635,129.040386,서경세차장,인제요양병원,200,47,,47,,,,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 절영로,35.091592,129.041284,대교사거리,대교사거리,600,10,,,,,10,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 절영로,35.090399,129.038646,대교사거리,영선윗로터리,1000,171,,,,171,,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 와치로,35.072022,129.074207,동삼교회앞삼거리,영도롯데캐슬,200,42,,,,,,,42,,부산광역시 영도구,2026-02-19
부산광역시 영도구 와치로,35.075558,129.070363,한진로즈힐,고신대학교,900,188,188,,,,,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 영선대로,35.085311,129.040333,영선아래교차로,남항대교,1200,31,,,,31,,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 영선대로,35.085311,129.040333,영선아래교차로,소방서앞사거리,600,70,,,70,,,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 상리로,35.085175,129.070707,항만119,상리초등학교,500,102,,,102,,,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 하나길,35.08097017,129.0445,신선중학교,이송도삼거리,217,38,,,,38,,,,,부산광역시 영도구,2026-02-19
부산광역시 영도구 봉래언덕길,35.093435,129.049299,봉래동 에일린의뜰,하늘소공원,195,38,,,,38,,,,,부산광역시 영도구,2026-02-19
