노선,위치(도로명 주소),구간시점,구간종점,식재거리(m),왕벚나무,은행나무,느티나무,버즘나무,양버즘,이팝나무,회화나무,메타세콰이아,칠엽수,중국단풍,팽나무,튤립나무,단풍나무,벽오동,대왕참나무,감나무,산딸나무,모과나무,모감주,계수나무,가중나무,황벽나무,수양버들,복자귀,느릅나무,대추나무,후박나무,먼나무,해송,가시나무,구실잣밤나무,개잎갈나무,녹나무,가이즈카향나무,참식,주목,아왜나무,기타
중앙대로,부산광역시 중구 중앙대로,영주사거리,롯데백화점 광복점,1600,0,4,17,0,68,73,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
해관로,부산광역시 중구 해관로,중부경찰서,광복로 시범가로변 입구,900,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대영로,부산광역시 중구 대영로,영주사거리,부산터널,800,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
충장대로,부산광역시 중구 충장대로,부산세관,동구경계,800,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
태종로,부산광역시 중구 태종로,롯데백화점 광복점,영도대교,200,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대청로,부산광역시 중구 대청로,연안부두삼거리,골든시티,1400,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
중구로,부산광역시 중구 중구로,국민은행,영주삼거리,1900,0,52,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
흑교로,부산광역시 중구 흑교로,부평교차로,흑교사거리,900,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
구덕로,부산광역시 중구 구덕로,롯데백화점 광복점,자갈치교차로,900,0,76,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
망양로,부산광역시 중구 망양로,동남파크교차로,혜광고교,2300,197,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대교로,부산광역시 중구 대교로,부산세관 앞,부산대교,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,9,0,13,0,0,0
보수대로,부산광역시 중구 보수대로,자갈치교차로,흑교사거리,1300,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광복중앙로,부산광역시 중구 광복중앙로,부산근대역사관,광복로 시티스팟,400,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
비프광장로,부산광역시 중구 비프광장로,서구청맞은편,비프광장,300,0,0,7,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40계단길,부산광역시 중구 40계단길,소라계단 앞,40계단길,200,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
이순신대로,부산광역시 중구 이순신대로,연안부두사거리,동구경계,1600,0,0,11,0,0,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
